codmarque,Marque,typecat
1,BROTHER,NULL
2,CIARA,NULL
3,DELL,NULL
4,EPSON,NULL
5,FUJITSU,NULL
6,HP,NULL
7,IBM,NULL
8,LENOVO,NULL
9,LEXMARK,NULL
10,LG,NULL
11,NEC,NULL
12,SAMSUNG,NULL
13,"SONY VAIO",NULL
14,TOSHIBA,NULL
15,VIEWSONIC,NULL
16,"ALTEC LANSING",NULL
17,APC,NULL
18,BENQ,NULL
20,CANON,NULL
21,CISCO,NULL
22,COMPAQ,NULL
23,CTX,NULL
26,DIGINET,NULL
27,D-LINK,NULL
28,FORTRESS,NULL
31,"ID TECH",NULL
32,IOMEGA,NULL
35,KINGSTON,NULL
36,KODAK,NULL
37,LACIE,NULL
39,LINKSYS,NULL
40,MICROTEK,NULL
41,MITSUBISHI,NULL
42,NIKON,NULL
43,PANASONIC,NULL
44,POWERWARE,NULL
45,PRATICALPERIPHE,NULL
46,PROMETHEAN,NULL
47,PROTEC,NULL
48,SANDISK,NULL
49,SKYDATA,NULL
50,SYMBOL,NULL
51,THINKVISION,NULL
53,XEROX,NULL
54,ZEBRA,NULL
55,SYNOLOGY,NULL
56,FADAL,MAC
57,MATSUURA,MAC
58,GILDEMEISTER,MAC
59,GOODWAY,MAC
60,TAKUMI,MAC
61,DAEWOO,MAC
62,SIRIUS,MAC
63,JOHNFORD,MAC
64,AMADA,MAC
65,AZIMUTH,MAC
66,ANTARES,MAC
67,BALDOR,MAC
68,BEMATO,MAC
69,"BROWN & SHARPE",MAC
70,BUFFALO,MAC
71,CINCINNATI,MAC
72,COMET,MAC
73,"DECKEL MAHO",MAC
74,DOALL,MAC
75,DORMER,MAC
76,FERDIMAT,MAC
77,"FORD SMITH",MAC
78,HURON,MAC
79,ISO-GRIND,MAC
80,JITEN,MAC
81,"JONES SHIPMAN",MAC
82,"K.O. LEE",MAC
83,KAOMING,MAC
84,KROMING,MAC
85,LAGUN,MAC
86,MAZAK,MAC
87,MILLENIUM,MAC
88,"MITSUI SEIKI",MAC
89,"MORI SEIKI",MAC
90,OKAMOTO,MAC
91,SODICK,MAC
92,SUNNEN,MAC
93,TOZ,MAC
94,ISO-MILL,MAC
95,ISO-TURN,MAC
96,"New-Saw King",MAC
97,"Annettoni SPA ",MAC
98,"Spot Welder",MAC
