noserie,typecat,CodBat,codmarque,modele,local,poste,nofacture,vocation,verifier,Coduser_add,Coduser_modif,CodEtatInv,shape,coords
4016,MAC,494,68,BMT430X800,à venir,401,,P,0,u76e,,A,rect,
4024,MAC,494,68,BMT430X800,à venir,402,,P,0,u76e,,A,rect,
4025,MAC,494,68,BMT430X800,à venir,403,,P,0,u76e,,A,rect,
110295-U,MAC,494,86,QT 8N,Tour1 2axes,306,,P,0,u76e,,A,rect,
110580-6,MAC,494,86,QT 8N,Usinage c.num,305,,P,0,u76e,,A,rect,
11160000483,MAC,494,73,DMU 60P,Usinage c.num,216,,P,0,u76e,,A,rect,
15878,MAC,494,78,NU-4,Fraiseuse,727,,P,0,u76e,,A,rect,
20370,MAC,494,95,JF-1730,Millenium,709,,P,0,u76e,,A,rect,
20372,MAC,494,95,JF-1730,Millenium,707,,P,0,u76e,,A,rect,
20373,MAC,494,95,JF-1730,Millenium,711,,P,0,u76e,,A,rect,
20375,MAC,494,95,JF 1730,Millenium,404,,P,0,u76e,,A,rect,
20425,MAC,494,95,JF-1730,Millenium,711,,P,0,u76e,,A,rect,
229074,MAC,494,86,100-II M,Tour 3 axes,307,,P,0,u76e,,A,rect,
229075,MAC,494,86,100-II M,Tour 3 axes,204,,P,0,u76e,,A,rect,
229076,MAC,494,86,100-II M,Tour 3 axes,206,,P,0,u76e,,A,rect,
229207,MAC,494,86,100-II M,Tour 3 axes,203,,P,0,u76e,,A,rect,
229208,MAC,494,86,100-II M,Tour 3 axes,202,,P,0,u76e,,A,rect,
229231,MAC,494,86,100-II M,Tour 3 axes,205,,P,0,u76e,,A,rect,
229232,MAC,494,86,100-II M,Tour 3 axes,201,,P,0,u76e,,A,rect,
231209,MAC,494,86,410A-II,Usinage c.num,213,,P,0,u76e,,A,rect,
231210,MAC,494,86,410A-II,Usinage c.num,209,,P,0,u76e,,A,rect,
231211,MAC,494,86,410A-II,Usinage c.num,212,,P,0,u76e,,A,rect,
231212,MAC,494,86,410A-II,Usinage c.num,211,,P,0,u76e,,A,rect,
231213,MAC,494,86,410A-II,Usinage c.num,210,,P,0,u76e,,A,rect,
250,MAC,494,88,J-48,Pointeuse,706,,P,0,u76e,,A,rect,
25528,MAC,494,64,Amada RG-25,Modèle 25 Amada,,,P,0,u76e,,A,rect,
261,MAC,494,98,ARON 30NSO,Soudeuse,,,P,0,u76e,,A,rect,
27729,MAC,494,82,SE 6-18,Rectifieuse plane,506,,P,0,u76e,,A,rect,
27730,MAC,494,82,SE 6-18,Rectifieuse plane,509,,P,0,u76e,,A,rect,
27731,MAC,494,82,SE 6-18,Rectifieuse plane,511,,P,0,u76e,,A,rect,
27732,MAC,494,82,SE 6-18,Rectifieuse plane,507,,P,0,u76e,,A,rect,
27733,MAC,494,82,SE 6-18,Rectifieuse plane,508,,P,0,u76e,,A,rect,
27734,MAC,494,82,SE 6-18,Rectifieuse plane,505,,P,0,u76e,,A,rect,
27735,MAC,494,82,SE 6-18,Rectifieuse plane,510,,P,0,u76e,,A,rect,
28850020612,MAC,494,73,DAAC63V,Usinage c.num,701,,P,0,u76e,,A,rect,
29035,MAC,494,82,SE 6-18,Rectifieuse plane,503,,P,0,u76e,,A,rect,
29036,MAC,494,82,SE 6-18,Rectifieuse plane,503,,P,0,u76e,,A,rect,
29037,MAC,494,82,SE 6-18,Rectifieuse plane,501,,P,0,u76e,,A,rect,
29038,MAC,494,82,SE 6-18,Rectifieuse plane,502,,P,0,u76e,,A,rect,
29366,MAC,494,95,JF-1730,Millenium,708,,P,0,u76e,,A,rect,
30250309,MAC,494,64,Amada FCXB III 8025,Plieuse,,,P,0,u76e,,A,rect,
30250544,MAC,494,64,Amada FCXB III 8025,Plieuse,,,P,0,u76e,,A,rect,
3060122,MAC,494,64,M 3060,Amada Model M3060,,,P,0,u76e,,A,rect,
3114,MAC,494,90,ACC 12-24 ST,Rectifieuse,721,,P,0,u76e,,A,rect,
33AC2103,MAC,494,65,33AC2103,Presse Azimuth,,,P,0,u76e,,A,rect,
3496,MAC,494,65,SST 2504,Cisaille,,,P,0,u76e,,A,rect,
440-94608,MAC,494,74,3613-1,Scie à ruban,129,,P,0,u76e,,A,rect,
45089,MAC,494,94,Sirius VT5J,Fraiseuse,730,,P,0,u76e,,A,rect,
45096,MAC,494,94,Sirius YT5J,Fraiseuse,728,,P,0,u76e,,A,rect,
500-94651,MAC,494,74,2013-V,Scie à ruban,131,,P,0,u76e,,A,rect,
500-951022,MAC,494,74,2013-V,Scie à ruban,132,,P,0,u76e,,A,rect,
523-3818-1590,MAC,494,69,818 Techmaster,Rectifieuse,722,,P,0,u76e,,A,rect,
5885F00114A,MAC,494,73,DMU 63V,Usinage c.num,317,,P,0,u76e,,A,rect,
612,MAC,494,89,SH400,Usinage c.num,214,,P,0,u76e,,A,rect,
66237,MAC,494,77,701-S,Touret pour carbure,128,,P,0,u76e,,A,rect,
675,MAC,494,89,SH400,Usinage c.num,215,,P,0,u76e,,A,rect,
701371,MAC,494,77,40P,Touret,110,,P,0,u76e,,A,rect,
70366,MAC,494,84,KMR 700DS,Perceuse radial,133,,P,0,u76e,,A,rect,
70367,MAC,494,83,KMB700D,Perceuse,108,,P,0,u76e,,A,rect,
75068,MAC,494,94,Sirius VT6J,Fraiseuse,724,,P,0,u76e,,A,rect,
