mac,coord
202,"2675,830,2805,930"
203,"2872,830,3005,930"
204,"3069,830,3205,930"
205,"3266,830,3405,930"
206,"3483,830,3605,930"
207,"3700,830,3884,940"
208,"3972,830,4154,940"
209,"2405,1260,2540,1418"
210,"2610,1260,2745,1418"
211,"2815,1260,2950,1418"
212,"3020,1260,3155,1418"
213,"3225,1260,3360,1418"
214,"3590,1155,3755,1410"
215,"3860,1155,4024,1410"
216,"4184,1175,4420,1465"
301,"2834,2120,2925,2320"
302,"2834,1905,2915,2034"
303,"2834,1710,2915,1842"
304,"2834,1520,2915,1650"
305,"3088,1638,3210,1720"
306,"3282,1638,3408,1720"
307,"3476,1638,3606,1736"
308,"3670,1638,3804,1748"
309,"3864,1638,4002,1748"
310,"4058,1638,4200,1748"
311,"4252,1638,4398,1748"
312,"3060,1798,3239,1944"
313,"3310,1798,3490,1944"
314,"3560,1798,3740,1944"
315,"3810,1798,3990,1944"
316,"4065,1798,4195,1944"
317,"4265,1798,4395,1944"
318,"3388,2210,3542,2338"
319,"3612,2210,3766,2338"
320,"3836,2210,3990,2338"
321,"4072,2210,4234,2355"
322,"4295,2225,4402,2360"
401,"1132,805,1222,940"
402,"1272,805,1362,940"
403,"1412,805,1502,940"
404,"1582,805,1672,940"
405,"1736,805,1826,940"
406,"1870,805,1960,940"
407,"2010,805,2100,940"
408,"2150,805,2240,940"
409,"1132,1025,1222,1165"
410,"1272,1025,1362,1165"
411,"1412,1025,1502,1165"
412,"1552,1025,1642,1165"
413,"1692,1025,1782,1165"
414,"1832,1025,1922,1165"
415,"1972,1025,2062,1165"
416,"2112,1025,2202,1165"
417,"1132,1255,1222,1390"
418,"1272,1255,1362,1390"
419,"1412,1255,1502,1390"
420,"1552,1255,1642,1390"
421,"1692,1255,1782,1390"
422,"1832,1255,1922,1390"
423,"1972,1255,2062,1390"
424,"2112,1255,2202,1390"
501,"1200,1555,1275,1665"
502,"1345,1555,1420,1665"
503,"1490,1555,1565,1665"
504,"1635,1555,1710,1665"
505,"1780,1555,1855,1665"
506,"1920,1555,1995,1665"
507,"2065,1555,2140,1665"
508,"2210,1555,2280,1665"
509,"2355,1555,2425,1665"
510,"2500,1555,2570,1665"
511,"2640,1555,2715,1665"
601,"1437,1782,1546,1913"
602,"1607,1782,1716,1913"
603,"1777,1782,1886,1913"
604,"1947,1782,2056,1913"
605,"2117,1782,2226,1913"
606,"2287,1782,2396,1913"
607,"2457,1782,2566,1913"
608,"2627,1782,2736,1913"
609,"1437,1960,1546,2091"
610,"1607,1960,1716,2091"
611,"1777,1960,1886,2091"
612,"1947,1960,2056,2091"
613,"2117,1960,2226,2091"
614,"2287,1960,2396,2091"
615,"2457,1960,2566,2091"
616,"2627,1960,2736,2091"
617,"1437,2219,1546,2350"
618,"1607,2219,1716,2350"
619,"1777,2219,1886,2350"
620,"1947,2219,2056,2350"
621,"2117,2219,2226,2350"
622,"2287,2219,2396,2350"
623,"2457,2219,2566,2350"
624,"2627,2219,2736,2350"
701,"450,735,580,880"
702,"635,735,755,880"
703,"810,735,930,830"
704,"980,805,1050,915"
705,"375,875,430,930"
706,"310,1015,435,1165"
707,"625,1035,720,1180"
708,"770,1035,870,1180"
709,"915,1035,1015,1180"
710,"625,1250,720,1398"
711,"770,1250,870,1398"
712,"915,1250,1015,1398"
713,"310,1220,405,1420"
714,"310,530,390,1620"
715,"505,1530,620,1660"
716,"650,1530,765,1660"
717,"795,1530,910,1660"
718,"940,1530,1055,1660"
719,"310,1665,430,1870"
720,"505,1700,600,1870"
721,"670,1700,790,1870"
722,"860,1700,975,1870"
723,"310,1990,420,2100"
724,"505,1960,675,2140"
725,"695,1960,865,2140"
726,"885,1960,1055,2140"
727,"310,2155,435,2335"
728,"530,2190,659,2340"
729,"720,2190,849,2340"
730,"910,2190,1039,2340"
