mac,coord
202,"26,758,302,805,930"
203,"28,728,303,005,930"
204,"30,698,303,205,930"
205,"32,668,303,405,930"
206,"34,838,303,605,930"
207,"37,008,303,884,940"
208,"39,728,304,154,940"
209,"2,405,126,025,401,410"
210,"2,610,126,027,451,410"
211,"2,815,126,029,501,410"
212,"3,020,126,031,551,410"
213,"3,225,126,033,601,410"
214,"3,590,115,537,551,410"
215,"3,860,115,540,241,410"
216,"4,184,117,544,201,460"
301,"2,834,212,029,252,320"
302,"2,834,190,529,152,030"
303,"2,834,171,029,151,840"
304,"2,834,152,029,151,650"
305,"3,088,163,832,101,720"
306,"3,282,163,834,081,720"
307,"3,476,163,836,061,730"
308,"3,670,163,838,041,740"
309,"3,864,163,840,021,740"
310,"4,058,163,842,001,740"
311,"4,252,163,843,981,740"
312,"3,060,179,832,391,940"
313,"3,310,179,834,901,940"
314,"3,560,179,837,401,940"
315,"3,810,179,839,901,940"
316,"4,065,179,841,951,940"
317,"4,265,179,843,951,940"
318,"3,388,221,035,422,330"
319,"3,612,221,037,662,330"
320,"3,836,221,039,902,330"
321,"4,072,221,042,342,350"
322,"4,295,222,544,022,360"
401,"11,328,051,222,940"
402,"12,728,051,362,940"
403,"14,128,051,502,940"
404,"15,828,051,672,940"
405,"17,368,051,826,940"
406,"18,708,051,960,940"
407,"20,108,052,100,940"
408,"21,508,052,240,940"
409,"1,132,102,512,221,160"
410,"1,272,102,513,621,160"
411,"1,412,102,515,021,160"
412,"1,552,102,516,421,160"
413,"1,692,102,517,821,160"
414,"1,832,102,519,221,160"
415,"1,972,102,520,621,160"
416,"2,112,102,522,021,160"
417,"1,132,125,512,221,390"
418,"1,272,125,513,621,390"
419,"1,412,125,515,021,390"
420,"1,552,125,516,421,390"
421,"1,692,125,517,821,390"
422,"1,832,125,519,221,390"
423,"1,972,125,520,621,390"
424,"2,112,125,522,021,390"
501,"1,200,155,512,751,660"
502,"1,345,155,514,201,660"
503,"1,490,155,515,651,660"
504,"1,635,155,517,101,660"
505,"1,780,155,518,551,660"
506,"1,920,155,519,951,660"
507,"2,065,155,521,401,660"
508,"2,210,155,522,801,660"
509,"2,355,155,524,251,660"
510,"2,500,155,525,701,660"
511,"2,640,155,527,151,660"
601,"1,437,178,215,461,910"
602,"1,607,178,217,161,910"
603,"1,777,178,218,861,910"
604,"1,947,178,220,561,910"
605,"2,117,178,222,261,910"
606,"2,287,178,223,961,910"
607,"2,457,178,225,661,910"
608,"2,627,178,227,361,910"
609,"1,437,196,015,462,090"
610,"1,607,196,017,162,090"
611,"1,777,196,018,862,090"
612,"1,947,196,020,562,090"
613,"2,117,196,022,262,090"
614,"2,287,196,023,962,090"
615,"2,457,196,025,662,090"
616,"2,627,196,027,362,090"
617,"1,437,221,915,462,350"
618,"1,607,221,917,162,350"
619,"1,777,221,918,862,350"
620,"1,947,221,920,562,350"
621,"2,117,221,922,262,350"
622,"2,287,221,923,962,350"
623,"2,457,221,925,662,350"
624,"2,627,221,927,362,350"
701,"450,735,580,880"
702,"635,735,755,880"
703,"810,735,930,830"
704,"9,808,051,050,915"
705,"375,875,430,930"
706,"31,010,154,351,165"
707,"62,510,357,201,180"
708,"77,010,358,701,180"
709,"915,103,510,151,180"
710,"62,512,507,201,398"
711,"77,012,508,701,398"
712,"915,125,010,151,398"
713,"31,012,204,051,420"
714,"3,105,303,901,620"
715,"50,515,306,201,660"
716,"65,015,307,651,660"
717,"79,515,309,101,660"
718,"940,153,010,551,660"
719,"31,016,654,301,870"
720,"50,517,006,001,870"
721,"67,017,007,901,870"
722,"86,017,009,751,870"
723,"31,019,904,202,100"
724,"50,519,606,752,140"
725,"69,519,608,652,140"
726,"885,196,010,552,140"
727,"31,021,554,352,335"
728,"53,021,906,592,340"
729,"72,021,908,492,340"
730,"910,219,010,392,340"
